Protected Bike Lane,Latitude,Longitude,Neighborhood
,40.509777,-80.016822,N/A
,40.482658,-80.024487,Perry North
,40.40343,-80.084923,N/A
,40.459815,-79.970178,Strip District
,40.402689,-79.985396,Carrick
,40.466148,-79.923138,N/A
,39.821787,-85.775403,N/A
,40.438358,-79.927541,Squirrel Hill North
,38.300217,-76.743445,N/A
,40.46438,-79.963682,Lower Lawrenceville
,40.440501,-79.958725,Shadyside
,40.446147,-79.911867,Point Breeze
,40.454931,-79.898231,Brushton
,40.446244,-79.932388,Squirrel Hill North
,40.465196,-79.923306,N/A
,40.46438,-79.963682,Lower Lawrenceville
,38.300217,-76.743445,N/A
,40.462421,-79.942584,Bloomfield
,40.458236,-79.94751,Bloomfield
,40.458236,-79.94751,Bloomfield
,40.458236,-79.94751,Bloomfield
,40.444289,-79.978688,Hill District
,40.461202,-79.958235,Lower Lawrenceville
,40.45345,-79.934942,Shadyside
,40.47441,-79.950968,Central Lawrenceville
,40.472466,-80.028015,Marshall-Shadeland
,40.459815,-79.970178,Strip District
,35.273654,-95.301344,N/A
,40.472466,-80.028015,Marshall-Shadeland
,40.458236,-79.94751,Bloomfield
,40.462421,-79.942584,Bloomfield
,40.482173,-80.08099,N/A
,40.428478,-79.978502,South Side Flats
,40.47441,-79.950968,Central Lawrenceville
,40.46932,-79.961758,Lawrenceville
,35.273654,-95.301344,N/A
,40.47441,-79.950968,Central Lawrenceville
,40.47441,-79.950968,Central Lawrenceville
,40.47441,-79.950968,Central Lawrenceville
,40.47441,-79.950968,Central Lawrenceville
,40.440507,-79.954189,Oakland
,40.454236,-79.9742,Strip District
,40.47441,-79.950968,Central Lawrenceville
,40.424321,-79.887922,N/A
,40.441091,-79.955821,Oakland
,40.440537,-79.958074,Oakland
,40.47441,-79.950968,Central Lawrenceville
,40.440543,-79.95721,Oakland
,40.47441,-79.950968,Central Lawrenceville
,40.46438,-79.963682,Lower Lawrenceville
,40.47441,-79.950968,Central Lawrenceville
,40.47441,-79.950968,Central Lawrenceville
,40.466769,-79.91778,N/A
,40.452181,-79.943663,Shadyside
x,40.46438,-79.963682,Lower Lawrenceville
x,40.440014,-79.936624,Squirrel Hill North
x,40.441,-79.9964,Chinatown
,40.47441,-79.950968,Central Lawrenceville
,40.456766,-80.006897,Central Northside
x,40.488724,-79.761188,N/A
,40.465613,-79.958775,Central Lawrenceville
,40.47441,-79.950968,Central Lawrenceville
,40.462145,-79.962055,Lower Lawrenceville
x,40.440014,-79.936624,Squirrel Hill North
,40.496149,-79.960174,N/A
,40.458007,-79.999434,East Allegheny
